                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                   2.31,                 4.8728,                  1.587,                0.27788,                 0.0619,                0.04972,                0.02098,                 1.8976,                 4.3382,                 1.5457,              7.777e-05,              7.777e-05,              7.777e-05
                      2,                  2.001,                 2.8538,                 1.3791,                0.64247,                0.37954,                0.38757,                0.22685,                 1.6795,                 2.8892,                 1.3808,             0.00016005,             0.00016005,             0.00016005
                      3,                 1.8352,                 1.7984,                 1.2441,                0.49634,                0.54226,                0.47526,                0.25145,                 1.6144,                 5.1768,                 1.3042,             0.00023529,             0.00023529,             0.00023529
                      4,                  1.679,                 1.4653,                 1.1862,                0.42511,                 0.6536,                0.52277,                0.30826,                 1.5962,                 3.3137,                 1.2885,             0.00030349,             0.00030349,             0.00030349
                      5,                 1.6546,                 1.3511,                 1.1666,                0.68688,                0.63013,                0.65778,                 0.3659,                 1.5024,                 1.8216,                 1.2458,             0.00036466,             0.00036466,             0.00036466
                      6,                 1.6661,                 1.3134,                 1.1795,                0.61409,                0.72271,                0.67865,                0.34797,                 1.5118,                 2.2218,                 1.3038,             0.00041878,             0.00041878,             0.00041878
                      7,                 1.6441,                 1.2474,                 1.1666,                0.59448,                0.83724,                0.74444,                0.40766,                 1.4651,                 1.8123,                 1.2864,             0.00046586,             0.00046586,             0.00046586
                      8,                 1.5311,                 1.1261,                 1.1335,                0.65209,                0.79918,                0.79534,                0.43272,                 1.4825,                 1.4649,                 1.2675,             0.00050591,             0.00050591,             0.00050591
                      9,                 1.5377,                   1.12,                 1.1469,                0.76301,                0.76182,                0.79322,                0.46878,                 1.4486,                  1.509,                 1.2232,             0.00053891,             0.00053891,             0.00053891
                     10,                 1.5244,                  1.026,                 1.1074,                 0.7972,                0.72045,                0.78064,                0.45021,                 1.4436,                 1.3297,                 1.2303,             0.00056488,             0.00056488,             0.00056488
                     11,                 1.5653,                 1.0836,                  1.142,                0.70699,                 0.7937,                0.76385,                0.43561,                 1.4181,                 1.3055,                 1.2437,             0.00058381,             0.00058381,             0.00058381
                     12,                 1.5326,                 1.0351,                 1.1113,                0.70807,                0.76178,                 0.7797,                0.44108,                 1.4005,                  1.334,                 1.2302,              0.0005957,              0.0005957,              0.0005957
                     13,                 1.4816,                0.96469,                 1.0889,                0.74013,                0.73462,                0.76498,                0.43419,                 1.4267,                 1.2708,                 1.2249,             0.00058305,             0.00058305,             0.00058305
                     14,                 1.4364,                0.94441,                  1.057,                0.70652,                0.77563,                 0.7609,                0.44065,                 1.4182,                 1.1335,                 1.2196,             0.00058305,             0.00058305,             0.00058305
                     15,                 1.4512,                0.94072,                 1.0724,                0.63998,                 0.7397,                 0.7302,                0.41213,                 1.4546,                 1.1416,                 1.2511,             0.00053906,             0.00053906,             0.00053906
                     16,                 1.4376,                0.97513,                 1.0819,                0.57786,                 0.6783,                0.71086,                0.39494,                 1.4953,                 1.2264,                 1.2829,             0.00049506,             0.00049506,             0.00049506
                     17,                 1.4064,                0.94503,                 1.0784,                0.62558,                0.78423,                 0.7447,                0.39315,                 1.4265,                  1.175,                 1.2553,             0.00045107,             0.00045107,             0.00045107
                     18,                 1.3935,                0.91187,                 1.0923,                0.62832,                0.81438,                0.78492,                0.43061,                  1.424,                 1.1118,                  1.255,             0.00040707,             0.00040707,             0.00040707
                     19,                  1.355,                0.85405,                 1.0453,                   0.77,                0.75619,                0.79976,                0.45625,                 1.4514,                 1.1227,                 1.2593,             0.00036307,             0.00036307,             0.00036307
                     20,                 1.3309,                0.84935,                 1.0358,                0.81948,                0.77654,                 0.8131,                0.45288,                  1.477,                 1.0707,                 1.2486,             0.00031908,             0.00031908,             0.00031908
                     21,                 1.2909,                0.78233,                 1.0162,                0.78411,                 0.7796,                 0.8194,                0.44598,                  1.506,                 1.0523,                 1.2549,             0.00027508,             0.00027508,             0.00027508
                     22,                 1.3258,                0.79478,                0.99776,                0.85356,                  0.765,                0.81963,                0.44146,                 1.5245,                 1.0612,                 1.2698,             0.00023109,             0.00023109,             0.00023109
                     23,                 1.2875,                0.75331,                 1.0095,                0.87264,                 0.7617,                0.82736,                0.45593,                 1.4894,                 1.0457,                 1.2567,             0.00018709,             0.00018709,             0.00018709
                     24,                 1.2838,                0.74547,                 1.0194,                0.87225,                0.74459,                0.83394,                0.46936,                 1.4526,                 1.0251,                 1.2348,              0.0001431,              0.0001431,              0.0001431
                     25,                 1.2733,                0.73616,                  1.016,                0.74298,                0.85391,                0.83369,                0.47694,                 1.4397,                 1.0092,                 1.2193,             9.9101e-05,             9.9101e-05,             9.9101e-05
